Company Name,Shorthand Company Name,Sector,Industry,Size (2019 Revenue),Net Earnings/Income (2019),IPO Year,S&P 100? (Y/N),Carbon Neutral Goal? (Y/N),Science-Based Target? (Y/N),Carbon Neutral by.... (year),Carbon Neutral Announcement (year),Carbon Goal (if non-zero),Reliance on Offsets? (Y/N),RE100 Commitment? (Y/N),100% Renewable Energy by... (year),2019 Scope 1 (MeT Co2),2019 Scope 2 ,2019 Offsets Purchased,2019 Net Scope 1 + 2 Emissions,2019 Scope 3 ,"2019 Total Scope 1, 2 + 3",2018 Scope 1,2018 Scope 2,2018 Offsets Purchased,2018 Net Scope 1 + 2 Emissions,2018 Scope 3,"2018 Total Scope 1, 2 + Scope 3",2017 Scope 1,2017 Scope 2,2017 Offsets Purchased,2017 Net Scope 1 + 2 Emissions,2017 Scope 3,"2017 Total Scope 1, 2 + 3",2016 Scope 1,2016 Scope 2,2016 Offsets Purchased,2016 Net Scope 1 + 2 Emissions,2016 Scope 3,"2016 Total Scope 1, 2 + 3",2015 Scope 1,2015 Scope 2,2015 Offsets Purchased,2015 Net Scope 1 + 2 Emissions,2015 Scope 3,"2015 Total Scope 1, 2 + 3",Policy Arm?,Initiatives for Carbon Neutrality,Notes,Sources
3M,3M,Industrials,Specialty Industrials,$32 136 000 000,$4 570 000 000,1978,Y,N,N,,,9 150 000,N,Y,2050,  4 050 000 ,  1 320 000 ,,  5 370 000 ,  8 920 000 ,  14 290 000 ,  4 790 000 ,  1 480 000 ,,  6 270 000 ,  9 530 000 ,  15 800 000 ,  3 960 000 ,  1 650 000 ,,  5 610 000 ,  9 280 000 ,  14 890 000 ,  4 140 000 ,  1 780 000 ,,  5 920 000 ,  9 420 000 ,  15 340 000 ,  3 770 000 ,  1 930 000 ,,  5 700 000 ,  9 503 800 ,  15 203 800 , Y ,-Policy engagement through lobbying and employee PAC specific to climate change and energy conservation,,
Abbott Laboratories,Abbott Laboratories,Healthcare,Medical Devices,$31 904 000 000 ,$3 687 000 000 ,1929,Y,N,N,,,742 000,N,N,N,  533 000 ,  439 000 ,,  972 000 ,  14 363 000 ,  15 335 000 ,  525 000 ,  506 000 ,,  1 031 000 ,  13 678 000 ,  14 709 000 ,  526 000 ,  506 000 ,,  1 032 000 ,  13 710 000 ,  14 742 000 ,  516 000 ,  544 000 ,,  1 060 000 ,  14 082 000 ,  15 142 000 , NR , NR ,,  , NR ,  , N ,- 40% reduction from base year (2010- 1237),,
AbbVie Inc.,AbbVie,Healthcare,Drug Manufacturers,$33 266 000 000 ,$5 697 000 000 ,2013,Y,N,N,,,334 482,N,Y,2035,  314 421 ,  249 777 ,,  564 198 ,  1 334 209 ,  1 898 407 ,  311 000 ,  271 000 ,,  582 000 ,  1 048 565 ,  1 630 565 ,  299 000 ,  284 000 ,,  583 000 ,  1 012 988 ,  1 595 988 ,  297 395 ,  319 692 ,,  617 087 ,  909 243 ,  1 526 330 ,  318 216 ,  347 250 ,,  665 466 ,  844 029 ,  1 509 495 , N ,"- 50% RE in 2025
'- 50% GHG reduction by 2035 from 2015 baseline",,
Accenture,Accenture,Technology,Information Technology Services,$43 200 000 000 ,$4 780 000 000 ,2001,Y,N,Y,,,88 000,N,Y,2023,  18 923 ,  214 680 ,,  233 603 ,  932 653 ,  1 166 256 ,  22 183 ,  218 855 ,,  241 038 ,  948 756 ,  1 189 794 ,  24 095 ,  243 773 ,,  267 868 ,  974 176 ,  1 242 044 ,  27 203 ,  263 050 ,,  290 253 ,  506 841 ,  797 094 ,  26 290 ,  237 239 ,,  263 529 ,  449 240 ,  712 769 ,N,"-reduce scope 1 and 2 emissions 65% by 2025 from our 2016 baseline (20% of total emissions 1257636). To date, we have cut these emissions by more than 19%.
- Currently at 26% RE",- Scope 3 only includes business travel for 2016 and 2015,
Adobe Inc.,Adobe,Technology,Software,$11 171 000 000,$2 951 000 000,1986,Y,N,Y,,,,N,Y,2035,  11 816 ,  43 526 ,,  55 342 ,  543 412 ,  598 754 ,  12 119 ,  47 871 ,,  59 990 ,,  59 990 ,  12 119 ,  58 874 ,,  70 993 ,  96 053 ,  167 046 ,  11 082 ,  58 474 ,,  69 556 ,,  69 556 , NR , NR ,,  , NR ,  ,N,,,
Allstate Corp,Allstate,Financial Services,Insurance,$44 675 000 000 ,$4 847 000 000 ,1993,Y,N,N,,,,N,N,N,39 230,74 230,,  113 460 ,  37 589 ,  151 049 ,  45 966 ,  83 887 ,,  129 853 ,  13 264 ,  143 117 ,  53 818 ,  91 209 ,,  145 027 ,  20 119 ,  165 146 ,  56 521 ,  104 350 ,,  160 871 ,  19 089 ,  179 960 ,  55 709 ,  111 825 ,,  167 534 ,  17 345 ,  184 879 ,N,"-location based scope 2 only
-In 2010, Allstate set a goal to achieve a 20% absolute
energy-use reduction within our owned portfolio (approximately
39% of all locations at the time) against our 2007 baseline by
2020. Thanks to efforts across the enterprise, we surpassed that
2020 goal in 2014.",,
Alphabet Inc. / Google,Alphabet / Google,Communication Services,Internet Content,$161 857 000 000,$34 340 000 000,2004,Y,Y,N,2007,2007,,Y,Y,2017,66 686,794 267,,  860 953 ,  3 160 000 ,  4 020 953 ,  63 521 ,  684 236 ,  1 211 224 ,  (463 467),  14 279 467 ,  13 816 000 ,  66 546 ,  509 334 ,  931 943 ,  (356 063),  2 719 024 ,  2 362 961 ,  66 218 ,  1 518 643 ,  1 898 889 ,  (314 028),  1 292 267 ,  978 239 ,  66 991 ,  1 384 427 ,  2 686 101 ,  (1 234 683),  1 234 683 ,  -   ,Y,"- All GHG emissions neutralized by carbon offset projects (40 carbon offset projects since 2007)
- In 2018, matched 100% of the electricity consumption of global operations with renewable energy for the second consecutive year (Since 2011, reduced cumulative Scope 1 and 2 GHG emissions by 52% by procuring renewable energy)
- Since 2011, carbon intensity per unit of revenue has decreased by 86%",,
Altria Group Inc,Altria,Consumer Staples,Tobacco,$25 364 000 000 ,$6 963 000 000 ,1985,Y,N,N,,,  4 468 432 ,N,Y,2030,  154 507 ,  146 909 ,,  301 416 , NR ,  ,  162 139 ,  166 706 ,,  328 845 ,  5 078 448 ,  5 407 293 ,  167 695 ,  168 889 ,,  336 584 ,  5 264 365 ,  5 600 949 ,  170 442 ,  206 622 ,,  377 064 ,  2 873 325 ,  3 250 389 ,  192 293 ,  204 900 ,,  397 193 ,  2 785 757 ,  3 182 950 ,N,"Reduce absolute Scope 1 &2 greenhouse gas emissions by 55% by 2030 vs. 2017
Reduce absolute Scope 3 greenhouse gas emissions by 18% by 2030 vs. 2017 
Achieve 100% renewable electricity by 2030 (currently at 2.3%)
Reduce waste sent to landfill by 25% by 2030 vs. 2017
 Achieve 100% water neutrality annually",,
Amazon.com Inc.,Amazon,Consumer Discretionary,Retail,$280 000 000 000,$11 588 000 000,1997,Y,Y,Y,2040,2020,,,Y,2025,  5 760 000 ,  5 500 000 ,,  11 260 000 ,  39 910 000 ,  51 170 000 ,  4 980 000 ,  4 710 000 ,,  9 690 000 ,  34 710 000 ,  44 400 000 , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  , NR , NR ,,  , NR ,  ,Y,"- $2 Billion Climate Pledge Fund to Invest in Companies Building Products, Services, and Technologies to Decarbonize the Economy and Protect the Planet
- $100 million Right Now Climate Fund that is investing in nature-based solutions and reforestation projects around the world, including a reforestation project in the Appalachians in the U.S. and an urban greening initiative in Berlin, Germany
- To date, Amazon has 91 renewable energy projects, including 31 utility-scale wind and solar projects and 60 solar rooftops on fulfillment centers and sort centers around the globe. Together, these projects totaling over 2,900 MW of capacity will deliver more than 7.6 million MWh of renewable energy annually, enough to power 680,000 U.S. homes
- Since 2015, has lowered the weight of outbound packaging by 33% and eliminated more than 880,000 tons of packaging material, the equivalent of 1.5 billion shipping boxes
- Making all Amazon shipments net zero carbon through Shipment Zero, with 50% of all shipments net zero carbon by 2030
- Deploying 100,000 electric delivery vehicles starting in 2021",,"- https://news.theceomagazine.com/environment/amazon-pollution/
- https://press.aboutamazon.com/news-releases/news-release-details/amazon-announces-2-billion-climate-pledge-fund-invest-companies
- https://sustainability.aboutamazon.com/
- https://sustainability.aboutamazon.com/environment/sustainable-operations/carbon-footprint
- https://d39w7f4ix9f5s9.cloudfront.net/26/7f/e1693ffc45db88d839a4734b46e7/amazon-2018-carbon-footprint.pdf"
American Express,American Express,Financial Services,Credit Services,$43 556 000 000 ,$6 921 000 000 ,1850,Y,Y,N,2018,2018, N ,Y,Y,2018,  24 363 ,  3 153 ,,  27 516 ,  2 169 198 ,  2 196 714 ,  23 981 ,  2 994 ,,  26 975 ,  2 341 539 ,  2 368 514 ,  24 162 ,  55 273 ,,  79 435 ,  2 254 145 ,  2 333 580 ,  25 438 ,  59 115 ,,  84 553 ,  2 355 882 ,  2 440 435 ,  27 352 ,  98 452 ,,  125 804 ,  1 357 496 ,  1 483 300 ,N,,,
American International Group (AIG),AIG,Financial Services,Insurance,$49 750 000 000 ,$3 300 000 000 ,1969,Y,N,N,,, N ,N,N,N,  17 121 ,  93 781 ,,  110 902 , NR ,  , NR ,  8 824 ,,  , NR ,  , NR ,  9 781 ,,  , NR ,  , NR ,  12 135 ,,  , NR ,  , NR , NR ,,  , NR ,  , N ,"- No initiatives worth mentioning- just nonspecific ""investments"" and ""frameworks"" for clients",- Scope 1 is omitted for 2015-2018 because the figures were reported for UK operations only,
